 164-172 E9.3   mW/m2/Hz FnuL     Linear combination model f({nu}) (2)
--------------------------------------------------------------------------------
Note (1): In units of erg/cm^2^/s.
Note (2): In units of erg/cm^2^/s/Hz.
--------------------------------------------------------------------------------
1e4 2.24679D+10  13343.14288     8.139D+37 7.697D+37 7.268D+37 6.961D+37 6.868D+37 6.675D+37 6.965D+37 3.623D+27 3.426D+27 3.235D+27 3.098D+27 3.057D+27 2.971D+27 3.100D+27
1e4 2.45677D+10  12202.70518     6.853D+39 6.721D+39 6.560D+39 6.417D+39 6.336D+39 6.253D+39 6.435D+39 2.789D+29 2.736D+29 2.670D+29 2.612D+29 2.579D+29 2.545D+29 2.619D+29
1e4 2.68637D+10  11159.74172     3.087D+38 2.992D+38 2.891D+38 2.810D+38 2.778D+38 2.727D+38 2.817D+38 1.149D+28 1.114D+28 1.076D+28 1.046D+28 1.034D+28 1.015D+28 1.049D+28
1e4 2.93744D+10  10205.91761     1.028D+38 9.721D+37 9.183D+37 8.802D+37 8.689D+37 8.449D+37 8.805D+37 3.500D+27 3.309D+27 3.126D+27 2.996D+27 2.958D+27 2.876D+27 2.998D+27
1e4 3.21196D+10   9333.621153    1.111D+38 1.051D+38 9.929D+37 9.521D+37 9.403D+37 9.146D+37 9.523D+37 3.459D+27 3.272D+27 3.091D+27 2.964D+27 2.927D+27 2.847D+27 2.965D+27
1e4 3.51215D+10   8535.877355    1.201D+38 1.136D+38 1.074D+38 1.030D+38 1.018D+38 9.906D+37 1.030D+38 3.420D+27 3.234D+27 3.058D+27 2.933D+27 2.899D+27 2.820D+27 2.933D+27
1e4 3.84038D+10   7806.316662    1.297D+38 1.228D+38 1.162D+38 1.115D+38 1.103D+38 1.074D+38 1.115D+38 3.377D+27 3.198D+27 3.026D+27 2.903D+27 2.872D+27 2.797D+27 2.903D+27
1e4 4.19930D+10   7139.111298    1.402D+38 1.328D+38 1.257D+38 1.209D+38 1.197D+38 1.166D+38 1.208D+38 3.339D+27 3.162D+27 2.993D+27 2.879D+27 2.850D+27 2.777D+27 2.877D+27
1e4 4.59175D+10   6528.93202     1.516D+38 1.437D+38 1.362D+38 1.311D+38 1.300D+38 1.268D+38 1.309D+38 3.302D+27 3.130D+27 2.966D+27 2.855D+27 2.831D+27 2.761D+27 2.851D+27
1e4 5.02089D+10   5970.90475     1.640D+38 1.555D+38 1.477D+38 1.425D+38 1.416D+38 1.384D+38 1.422D+38 3.266D+27 3.097D+27 2.942D+27 2.838D+27 2.820D+27 2.756D+27 2.832D+27
1e4 5.49013D+10   5460.571903    1.775D+38 1.685D+38 1.603D+38 1.553D+38 1.547D+38 1.515D+38 1.547D+38 3.233D+27 3.069D+27 2.920D+27 2.829D+27 2.818D+27 2.759D+27 2.818D+27
1e4 6.00322D+10   4993.857268    1.922D+38 1.827D+38 1.745D+38 1.698D+38 1.698D+38 1.669D+38 1.689D+38 3.202D+27 3.043D+27 2.907D+27 2.828D+27 2.828D+27 2.780D+27 2.813D+27
1e4 6.56427D+10   4567.032702    2.084D+38 1.986D+38 1.905D+38 1.866D+38 1.876D+38 1.851D+38 1.851D+38 3.175D+27 3.025D+27 2.902D+27 2.843D+27 2.858D+27 2.820D+27 2.820D+27
1e4 7.17775D+10   4176.688773    2.263D+38 2.164D+38 2.089D+38 2.064D+38 2.091D+38 2.074D+38 2.040D+38 3.153D+27 3.015D+27 2.910D+27 2.876D+27 2.913D+27 2.889D+27 2.842D+27
1e4 7.84857D+10   3819.707488    2.465D+38 2.366D+38 2.305D+38 2.303D+38 2.356D+38 2.354D+38 2.267D+38 3.141D+27 3.015D+27 2.937D+27 2.934D+27 3.002D+27 2.999D+27 2.888D+27
1e4 8.58208D+10   3493.23738     2.692D+38 2.601D+38 2.564D+38 2.602D+38 2.695D+38 2.717D+38 2.546D+38 3.137D+27 3.031D+27 2.988D+27 3.032D+27 3.140D+27 3.166D+27 2.967D+27
1e4 9.38414D+10   3194.67064     2.956D+38 2.879D+38 2.884D+38 2.985D+38 3.139D+38 3.201D+38 2.899D+38 3.150D+27 3.068D+27 3.073D+27 3.181D+27 3.345D+27 3.411D+27 3.089D+27
1e4 1.02612D+11   2921.622323    3.268D+38 3.216D+38 3.289D+38 3.490D+38 3.739D+38 3.863D+38 3.359D+38 3.185D+27 3.134D+27 3.205D+27 3.401D+27 3.644D+27 3.765D+27 3.274D+27
1e4 1.12201D+11   2671.911558    3.645D+38 3.639D+38 3.819D+38 4.175D+38 4.569D+38 4.789D+38 3.975D+38 3.249D+27 3.243D+27 3.404D+27 3.721D+27 4.072D+27 4.268D+27 3.543D+27
1e4 1.22688D+11   2443.543459    4.114D+38 4.183D+38 4.533D+38 5.125D+38 5.740D+38 6.107D+38 4.820D+38 3.353D+27 3.409D+27 3.695D+27 4.177D+27 4.679D+27 4.978D+27 3.929D+27
1e4 1.34154D+11   2234.693922    4.718D+38 4.903D+38 5.513D+38 6.471D+38 7.420D+38 8.013D+38 6.007D+38 3.517D+27 3.655D+27 4.109D+27 4.824D+27 5.531D+27 5.973D+27 4.478D+27
1e4 1.46691D+11   2043.694845    5.514D+38 5.882D+38 6.892D+38 8.401D+38 9.858D+38 1.079D+39 7.699D+38 3.759D+27 4.010D+27 4.698D+27 5.727D+27 6.720D+27 7.356D+27 5.248D+27
1e4 1.60401D+11   1869.020382    6.593D+38 7.244D+38 8.861D+38 1.121D+39 1.343D+39 1.488D+39 1.014D+39 4.110D+27 4.516D+27 5.524D+27 6.989D+27 8.373D+27 9.277D+27 6.322D+27
1e4 1.75392D+11   1709.275378    8.092D+38 9.174D+38 1.171D+39 1.531D+39 1.868D+39 2.091D+39 1.371D+39 4.614D+27 5.231D+27 6.676D+27 8.729D+27 1.065D+28 1.192D+28 7.817D+27
1e4 1.91783D+11   1563.18374     1.021D+39 1.194D+39 1.586D+39 2.135D+39 2.643D+39 2.984D+39 1.894D+39 5.324D+27 6.226D+27 8.270D+27 1.113D+28 1.378D+28 1.556D+28 9.876D+27
1e4 2.09707D+11   1429.578553    1.326D+39 1.596D+39 2.194D+39 3.025D+39 3.789D+39 4.305D+39 2.663D+39 6.323D+27 7.611D+27 1.046D+28 1.442D+28 1.807D+28 2.053D+28 1.270D+28
1e4 2.29306D+11   1307.392602    1.768D+39 2.183D+39 3.087D+39 4.337D+39 5.481D+39 6.257D+39 3.796D+39 7.710D+27 9.520D+27 1.346D+28 1.891D+28 2.390D+28 2.729D+28 1.655D+28
